Date	P	T
1968.07.15	99.0	18.5
1968.08.15	101.0	17.1
1968.09.15	90.0	14.2
1968.10.15	18.0	9.7
1968.11.15	59.0	4.7
1968.12.15	31.0	-3.2
1969.01.15	71.0	-3.2
1969.02.15	77.0	-2.3
1969.03.15	59.0	2.5
1969.04.15	28.0	9.2
1969.05.15	58.0	16.1
1969.06.15	106.0	16.4
1969.07.15	41.0	18.9
1969.08.15	147.0	17.2
1969.09.15	34.0	14.7
1969.10.15	29.0	9.1
1969.11.15	52.0	5.6
1969.12.15	78.0	-4.0
1970.01.15	24.0	-2.2
1970.02.15	34.0	0.0
1970.03.15	103.0	3.1
1970.04.15	89.0	8.7
1970.05.15	85.0	11.9
1970.06.15	76.0	18.2
1970.07.15	98.0	18.6
1970.08.15	91.0	18.8
1970.09.15	31.0	14.4
1970.10.15	54.0	8.2
1970.11.15	89.0	6.7
1970.12.15	43.0	-1.0
1971.01.15	22.0	-2.8
1971.02.15	19.0	1.8
1971.03.15	60.0	1.7
1971.04.15	46.0	10.0
1971.05.15	29.0	15.3
1971.06.15	70.0	16.7
1971.07.15	58.0	19.2
1971.08.15	108.0	19.7
1971.09.15	40.0	12.1
1971.10.15	21.0	7.9
1971.11.15	74.0	3.0
1971.12.15	25.0	0.5
1972.01.15	52.0	-3.3
1972.02.15	50.0	2.4
1972.03.15	25.0	6.0
1972.04.15	76.0	9.7
1972.05.15	156.0	13.5
1972.06.15	105.0	17.9
1972.07.15	233.0	19.2
1972.08.15	76.0	17.8
1972.09.15	37.0	11.6
1972.10.15	15.0	7.5
1972.11.15	89.0	3.7
1972.12.15	15.0	-0.8
1973.01.15	40.0	-1.8
1973.02.15	18.0	1.0
1973.03.15	18.0	3.9
1973.04.15	78.0	7.6
1973.05.15	24.0	14.9
1973.06.15	153.0	17.2
1973.07.15	64.0	18.9
1973.08.15	48.0	18.4
1973.09.15	125.0	15.0
1973.10.15	42.0	7.4
1973.11.15	45.0	1.5
1973.12.15	16.0	-0.1
1974.01.15	38.0	1.1
1974.02.15	31.0	4.3
1974.03.15	41.0	6.6
1974.04.15	37.0	8.6
1974.05.15	100.0	13.1
1974.06.15	58.0	15.6
1974.07.15	66.0	18.5
1974.08.15	176.0	19.8
1974.09.15	81.0	14.1
1974.10.15	144.0	6.0
1974.11.15	41.0	4.7
1974.12.15	19.0	2.3
1975.01.15	4.0	2.3
1975.02.15	10.0	0.1
1975.03.15	80.0	5.5
1975.04.15	23.0	8.9
1975.05.15	40.0	15.4
1975.06.15	131.0	16.4
1975.07.15	132.0	19.2
1975.08.15	81.0	18.4
1975.09.15	44.0	16.6
1975.10.15	67.0	8.8
1975.11.15	33.0	3.0
1975.12.15	40.0	-0.7
1976.01.15	16.0	-0.3
1976.02.15	18.0	-0.7
1976.03.15	24.0	1.6
1976.04.15	61.0	9.1
1976.05.15	86.0	13.7
1976.06.15	31.0	17.3
1976.07.15	63.0	19.9
1976.08.15	53.0	15.7
1976.09.15	69.0	13.4
1976.10.15	46.0	10.2
1976.11.15	61.0	5.7
1976.12.15	65.0	-0.8
1977.01.15	70.0	-0.2
1977.02.15	44.0	3.8
1977.03.15	33.0	7.5
1977.04.15	49.0	7.9
1977.05.15	33.0	14.1
1977.06.15	124.0	18.0
1977.07.15	115.0	18.4
1977.08.15	68.0	17.7
1977.09.15	41.0	12.4
1977.10.15	8.0	10.1
1977.11.15	36.0	4.7
1977.12.15	21.0	-1.5
1978.01.15	12.0	-0.8
1978.02.15	33.0	-0.8
1978.03.15	23.0	6.0
1978.04.15	44.0	8.0
1978.05.15	82.0	12.6
1978.06.15	135.0	16.4
1978.07.15	114.0	17.1
1978.08.15	35.0	16.6
1978.09.15	61.0	13.4
1978.10.15	16.0	9.1
1978.11.15	24.0	0.6
1978.12.15	34.0	-1.9
1979.01.15	58.0	-4.4
1979.02.15	54.0	0.2
1979.03.15	38.0	6.4
1979.04.15	70.0	8.1
1979.05.15	25.0	14.4
1979.06.15	188.0	18.9
1979.07.15	152.0	17.1
1979.08.15	86.0	17.0
1979.09.15	29.0	14.2
1979.10.15	36.0	8.1
1979.11.15	95.0	4.6
1979.12.15	43.0	2.0
1980.01.15	31.0	-3.9
1980.02.15	10.0	1.4
1980.03.15	22.0	4.1
1980.04.15	29.0	7.2
1980.05.15	41.0	11.5
1980.06.15	137.0	16.7
1980.07.15	107.0	17.7
1980.08.15	79.0	18.3
1980.09.15	35.0	14.2
1980.10.15	122.0	9.1
1980.11.15	84.0	1.4
1980.12.15	19.0	-1.5
1981.01.15	7.0	-4.0
1981.02.15	21.0	-0.4
1981.03.15	19.0	6.6
1981.04.15	16.0	9.2
1981.05.15	85.0	14.0
1981.06.15	164.0	17.9
1981.07.15	70.0	18.5
1981.08.15	46.0	18.3
1981.09.15	105.0	15.5
1981.10.15	51.0	10.5
1981.11.15	11.0	3.7
1981.12.15	73.0	-1.1
1982.01.15	35.0	-4.1
1982.02.15	11.0	-1.8
1982.03.15	20.0	4.8
1982.04.15	16.0	7.4
1982.05.15	97.0	14.3
1982.06.15	71.0	17.9
1982.07.15	153.0	19.5
1982.08.15	129.0	18.4
1982.09.15	78.0	17.2
1982.10.15	117.0	9.9
1982.11.15	46.0	4.9
1982.12.15	98.0	2.5
1983.01.15	19.0	2.3
1983.02.15	58.0	-1.5
1983.03.15	54.0	6.1
1983.04.15	43.0	11.2
1983.05.15	83.0	15.0
1983.06.15	76.0	17.1
1983.07.15	33.0	21.7
1983.08.15	67.0	19.3
1983.09.15	95.0	15.2
1983.10.15	90.0	9.9
1983.11.15	33.0	1.2
1983.12.15	24.0	0.2
1984.01.15	55.0	-0.7
1984.02.15	54.0	-0.8
1984.03.15	35.0	3.7
1984.04.15	48.0	8.4
1984.05.15	91.0	12.6
1984.06.15	68.0	16.1
1984.07.15	58.0	17.4
1984.08.15	73.0	17.8
1984.09.15	127.0	14.1
1984.10.15	31.0	10.8
1984.11.15	40.0	4.3
1984.12.15	22.0	-0.3
1985.01.15	28.0	-6.1
1985.02.15	21.0	-3.6
1985.03.15	117.0	3.1
1985.04.15	60.0	9.4
1985.05.15	131.0	14.7
1985.06.15	112.0	15.2
1985.07.15	73.0	19.3
1985.08.15	70.0	18.9
1985.09.15	46.0	15.5
1985.10.15	6.0	8.9
1985.11.15	134.0	2.0
1985.12.15	82.0	3.4
1986.01.15	50.0	-0.3
1986.02.15	103.0	-5.2
1986.03.15	64.0	2.0
1986.04.15	49.0	10.4
1986.05.15	89.0	16.3
1986.06.15	96.0	16.7
1986.07.15	79.0	18.2
1986.08.15	112.0	19.1
1986.09.15	21.0	14.3
1986.10.15	54.0	9.6
1986.11.15	39.0	4.5
1986.12.15	23.0	-1.6
1987.01.15	70.0	-5.3
1987.02.15	51.0	-0.4
1987.03.15	76.0	-0.6
1987.04.15	41.0	10.1
1987.05.15	115.0	12.3
1987.06.15	79.0	17.1
1987.07.15	116.0	20.3
1987.08.15	174.0	16.8
1987.09.15	41.0	17.2
1987.10.15	34.0	10.4
1987.11.15	101.0	4.2
1987.12.15	19.0	1.1
1988.01.15	59.0	2.0
1988.02.15	78.0	2.4
1988.03.15	42.0	3.8
1988.04.15	11.0	9.0
1988.05.15	70.0	14.4
1988.06.15	44.0	16.6
1988.07.15	97.0	20.2
1988.08.15	79.0	19.1
1988.09.15	87.0	14.8
1988.10.15	86.0	9.4
1988.11.15	21.0	0.3
1988.12.15	24.0	0.7
1989.01.15	2.0	-1.2
1989.02.15	11.0	3.3
1989.03.15	29.0	7.8
